,session,subject,parent_adj_nps,child_adj_nps,child_indef_def_adj_nps
33333,4,47,,a bug,a bug
33334,4,47,,a bug,a bug
33339,4,47,,a bug,a bug
33351,4,47,,a mine,a mine
33361,4,47,,a ball,a ball
33395,4,47,,a bug,a bug
33397,4,47,,a mine,a mine
33402,4,47,,a mine,a mine
33406,4,47,,a mine,a mine
33407,4,47,,a mine,a mine
33415,4,47,,a bug,a bug
33423,4,47,,a mine,a mine
33424,4,47,,a mine,a mine
33440,4,47,,a duck,a duck
33467,4,47,,a down,a down
33475,4,47,,a mama,a mama
33476,4,47,,a mama,a mama
33481,4,47,,a mommy,a mommy
33485,4,47,,a baby,a baby
33488,4,47,,a baby,a baby
33491,4,47,,a baby,a baby
33506,4,47,,a bug,a bug
33509,4,47,,a bug,a bug
33512,4,47,,a bug,a bug
33583,4,47,,a bug,a bug
33592,4,47,,a juice,a juice
33595,4,47,,a mommy,a mommy
33601,4,47,,a going,a going
33603,4,47,,a going,a going
33605,4,47,,a coming,a coming
33606,4,47,,a coming,a coming
33607,4,47,,a mommy,a mommy
33609,4,47,,a mommy,a mommy
33611,4,47,,a down,a down
33637,4,47,,a squeeze,a squeeze
33641,4,47,,a mommy,a mommy
33650,4,47,,a job,a job
33656,4,47,,a mess,a mess
33658,4,47,,a mess,a mess
33659,4,47,,a mess,a mess
33663,4,47,,a mess,a mess
33664,4,47,,a squeeze,a squeeze
33666,4,47,,a mine,a mine
33714,4,47,,a puppy,a puppy
33718,4,47,,a puppy,a puppy
33720,4,47,,a puppy,a puppy
33722,4,47,,a puppy,a puppy
33726,4,47,,a baby,a baby
33731,4,47,,a head,a head
33732,4,47,,a head,a head
33738,4,47,,a math,a math
33740,4,47,,a kiss,a kiss
33747,4,47,,a duck,a duck
33758,4,47,,a duck,a duck
33765,4,47,,a mess,a mess
33778,4,47,,a #,a #
33780,4,47,,a doggie,a doggie
33782,4,47,,a doggie,a doggie
33783,4,47,,a doggie,a doggie
33785,4,47,,a doggie,a doggie
33786,4,47,a dolly,a #,a #
33787,4,47,,a doggie,a doggie
33791,4,47,,a working,a working
33794,4,47,,a doggie,a doggie
33801,4,47,,a wash,a wash
33805,4,47,,a soap,a soap
33807,4,47,,a baby,a baby
33808,4,47,,a soap,a soap
33811,4,47,,a soap,a soap
33820,4,47,,a baby,a baby
33822,4,47,,a hand,a hand
33834,4,47,,a hand,a hand
33836,4,47,,a hand,a hand
33837,4,47,,a soap,a soap
33838,4,47,,a crayon,a crayon
33840,4,47,,a crayon,a crayon
33847,4,47,,a baby,a baby
33849,4,47,,a head,a head
33856,4,47,,a baby,a baby
33860,4,47,,a soap,a soap
33864,4,47,,a head,a head
33867,4,47,,a back,a back
33868,4,47,,a back,a back
33902,4,47,,a soap,a soap
33904,4,47,,a fry,a fry
33906,4,47,,a fry,a fry
33907,4,47,,a fry,a fry
33932,4,47,,a nose,a nose
33936,4,47,,a nose,a nose
33938,4,47,,a baby,a baby
33975,4,47,,a baby,a baby
33998,4,47,,a baby,a baby
33999,4,47,,a juice,a juice
34008,4,47,,a color,a color
34009,4,47,,a color,a color
34011,4,47,,a color,a color
34012,4,47,,a color,a color
34017,4,47,,a color,a color
34022,4,47,,a color,a color
34025,4,47,,a #,a #
34080,4,47,,a sun,a sun
34082,4,47,,a sun,a sun
34083,4,47,,a sun,a sun
34084,4,47,,a sun,a sun
34085,4,47,,a sun,a sun
34087,4,47,,a sun,a sun
34096,4,47,,a twinkle,a twinkle
34098,4,47,,a twinkle,a twinkle
34099,4,47,,a twinkle,a twinkle
34103,4,47,,a twinkle,a twinkle
34128,4,47,,a man,a man
34129,4,47,,a daddy,a daddy
34130,4,47,,a daddy,a daddy
34132,4,47,,a daddy,a daddy
34133,4,47,,a daddy,a daddy
34153,4,47,,a sun,a sun
34154,4,47,,a sun,a sun
34159,4,47,,a draw,a draw
34164,4,47,,a doing,a doing
34173,4,47,,a sun,a sun
35725,4,49,,a hole,a hole
35965,4,49,,a go,a go
36047,4,49,,a cars,a cars
36148,4,49,,a shoe,a shoe
36207,4,49,,a shoe,a shoe
36212,4,49,,a #,a #
36213,4,49,,a #,a #
36216,4,49,,a byebye,a byebye
36295,4,49,,a bug,a bug
36397,4,49,,a #,a #
36420,4,49,,a tree,a tree
36525,4,49,,a #,a #
36643,4,49,,a hole,a hole
36645,4,49,,a hole,a hole
36929,4,50,,a balloon,a balloon
36934,4,50,,a balloon,a balloon
36989,4,50,,the bunny,the bunny
37058,4,50,,a bunny,a bunny
37078,4,50,,a dog,a dog
37080,4,50,,a #,a #
37088,4,50,,the #,the #
37093,4,50,,a one,a one
37137,4,50,,a star,a star
37142,4,50,,the bunny,the bunny
37159,4,50,,a bunny,a bunny
37161,4,50,,a bunny,a bunny
37164,4,50,,the bunny,the bunny
37178,4,50,,a car,a car
37181,4,50,,a one,a one
37208,4,50,,a boy,a boy
37221,4,50,,a time+out,a time+out
37222,4,50,,a time+out,a time+out
37314,4,50,,a star,a star
37344,4,50,,the elephant,the elephant
37355,4,50,,a star,a star
37362,4,50,,the bunny,the bunny
37381,4,50,,a #,a #
37439,4,50,,a #,a #
37446,4,50,,the bunny,the bunny
37452,4,50,,a duck,a duck
37453,4,50,,a duck,a duck
37454,4,50,a duck,a duck,a duck
37460,4,50,,a duck,a duck
37467,4,50,,a duck,a duck
37488,4,50,,a duck,a duck
37489,4,50,,a duck,a duck
37495,4,50,,a duck,a duck
37506,4,50,,a bunny,a bunny
37508,4,50,,a bunny,a bunny
37523,4,50,,the one,the one
37527,4,50,,a stick,a stick
37540,4,50,,the floor,the floor
37563,4,50,,the bunny,the bunny
37585,4,50,,the bunny,the bunny
37587,4,50,,a bunny,a bunny
37588,4,50,,a bunny,a bunny
37591,4,50,,a hat,a hat
37592,4,50,,a hat,a hat
